,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0025817142857142,0.0015634285714285,0.0001717142857142,2.23,13.3,3.94
1,0.0025817142857142,0.0015634285714285,0.0002,2.33,14.9,4.51
2,0.0025817142857142,0.0020725714285714,2.0000000000000003e-06,1.95,12.6,4.7
3,0.0025817142857142,0.0020725714285714,3.0285714285714288e-05,2.12,13.7,5.17
4,0.0025817142857142,0.0020725714285714,5.8571428571428575e-05,1.98,12.9,4.84
5,0.0025817142857142,0.0020725714285714,8.685714285714286e-05,2.24,13.4,5.71
6,0.0025817142857142,0.0020725714285714,0.0001151428571428,2.05,11.5,4.82
7,0.0025817142857142,0.0020725714285714,0.0001434285714285,2.02,12.7,4.17
8,0.0025817142857142,0.0020725714285714,0.0001717142857142,2,12.4,4.3
9,0.0025817142857142,0.0020725714285714,0.0002,2.31,14.8,5.38
10,0.0025817142857142,0.0025817142857142,2.0000000000000003e-06,1.92,12.7,5.32
11,0.0025817142857142,0.0025817142857142,3.0285714285714288e-05,1.87,11.8,5.14
12,0.0025817142857142,0.0025817142857142,5.8571428571428575e-05,1.94,12.7,5.26
13,0.0025817142857142,0.0025817142857142,8.685714285714286e-05,2.1,12.2,5.57
14,0.0025817142857142,0.0025817142857142,0.0001151428571428,1.94,10.2,4.62
15,0.0025817142857142,0.0025817142857142,0.0001434285714285,1.88,11.9,4.54
16,0.0025817142857142,0.0025817142857142,0.0001717142857142,2.01,12.1,5
17,0.0025817142857142,0.0025817142857142,0.0002,2.12,13.8,5.77
18,0.0025817142857142,0.0030908571428571,2.0000000000000003e-06,1.84,11.9,5.81
19,0.0025817142857142,0.0030908571428571,3.0285714285714288e-05,1.99,13.3,6.07
20,0.0025817142857142,0.0030908571428571,5.8571428571428575e-05,1.64,10.6,4.85
21,0.0025817142857142,0.0030908571428571,8.685714285714286e-05,1.83,11.5,5.47
22,0.0025817142857142,0.0030908571428571,0.0001151428571428,1.74,8.86,5.07
23,0.0025817142857142,0.0030908571428571,0.0001434285714285,1.86,12.1,5.37
24,0.0025817142857142,0.0030908571428571,0.0001717142857142,1.72,10.6,4.77
25,0.0025817142857142,0.0030908571428571,0.0002,2.32,13.6,6.56
26,0.0025817142857142,0.0036,2.0000000000000003e-06,1.42,8.85,4.99
27,0.0025817142857142,0.0036,3.0285714285714288e-05,1.53,9.83,5.16
28,0.0025817142857142,0.0036,5.8571428571428575e-05,1.51,9.45,4.99
29,0.0025817142857142,0.0036,8.685714285714286e-05,1.78,10.8,6.09
30,0.0025817142857142,0.0036,0.0001151428571428,1.91,11.5,6.79
31,0.0025817142857142,0.0036,0.0001434285714285,1.81,10.8,6.17
32,0.0025817142857142,0.0036,0.0001717142857142,1.84,11.7,6.35
33,0.0025817142857142,0.0036,0.0002,2.04,12.3,6.92
34,0.0030908571428571,3.6e-05,2.0000000000000003e-06,3.44,19.4,2.31
35,0.0030908571428571,3.6e-05,3.0285714285714288e-05,3.41,19.7,2.44
36,0.0030908571428571,3.6e-05,5.8571428571428575e-05,3.55,19.9,2.29
37,0.0030908571428571,3.6e-05,8.685714285714286e-05,3.36,18.9,2.4
38,0.0030908571428571,3.6e-05,0.0001151428571428,3.54,21,2.25
39,0.0030908571428571,3.6e-05,0.0001434285714285,3.56,19.5,2.5
40,0.0030908571428571,3.6e-05,0.0001717142857142,3.68,19.6,2.37
41,0.0030908571428571,3.6e-05,0.0002,3.6,20.3,2.27
42,0.0030908571428571,0.0005451428571428,2.0000000000000003e-06,2.68,16.7,2.54
43,0.0030908571428571,0.0005451428571428,3.0285714285714288e-05,2.76,17.2,2.91
44,0.0030908571428571,0.0005451428571428,5.8571428571428575e-05,2.87,16.2,3.07
45,0.0030908571428571,0.0005451428571428,8.685714285714286e-05,2.87,18.1,2.81
46,0.0030908571428571,0.0005451428571428,0.0001151428571428,2.86,17,2.73
47,0.0030908571428571,0.0005451428571428,0.0001434285714285,2.95,17.2,3.04
48,0.0030908571428571,0.0005451428571428,0.0001717142857142,2.9,16.3,2.97
49,0.0030908571428571,0.0005451428571428,0.0002,2.97,17.8,2.79
