Unnamed: 0,netParams.connParams.BC->BC_GABA.weight,netParams.connParams.BC->PYR_GABA.weight,netParams.connParams.OLM->PYR_GABA.weight,PYR,BC,OLM
0,0.00045,7.2e-05,0.0072,4.63,94.3,4.32
1,0.00045,7.2e-05,0.1090285714285714,3.34,65.7,2.75
2,0.00045,7.2e-05,0.2108571428571428,3.37,66.9,2.52
3,0.00045,7.2e-05,0.3126857142857142,2.95,54.9,2.9
4,0.00045,7.2e-05,0.4145142857142856,3.06,58.6,2.43
5,0.00045,7.2e-05,0.5163428571428571,3.22,62.8,2.54
6,0.00045,7.2e-05,0.6181714285714285,3.11,58.7,2.9
7,0.00045,7.2e-05,0.72,3.03,57.7,2.42
8,0.00045,0.0010902857142857,0.0072,2.05,38.6,1.32
9,0.00045,0.0010902857142857,0.1090285714285714,1.98,36.7,1.26
10,0.00045,0.0010902857142857,0.2108571428571428,1.98,37.6,1.27
11,0.00045,0.0010902857142857,0.3126857142857142,1.92,36.1,1.31
12,0.00045,0.0010902857142857,0.4145142857142856,1.99,36.6,1.3
13,0.00045,0.0010902857142857,0.5163428571428571,1.89,34.4,1.54
14,0.00045,0.0010902857142857,0.6181714285714285,1.92,35.4,1.39
15,0.00045,0.0010902857142857,0.72,1.91,35.9,1.34
16,0.00045,0.0021085714285714,0.0072,1.79,32.4,1.15
17,0.00045,0.0021085714285714,0.1090285714285714,1.73,31.2,1.18
18,0.00045,0.0021085714285714,0.2108571428571428,1.73,31.1,1.21
19,0.00045,0.0021085714285714,0.3126857142857142,1.67,29.8,1.25
20,0.00045,0.0021085714285714,0.4145142857142856,1.74,31.2,1.16
21,0.00045,0.0021085714285714,0.5163428571428571,1.69,30.4,1.23
22,0.00045,0.0021085714285714,0.6181714285714285,1.73,31.3,1.13
23,0.00045,0.0021085714285714,0.72,1.69,30.5,1.24
24,0.00045,0.0031268571428571,0.0072,1.67,29.2,1.17
25,0.00045,0.0031268571428571,0.1090285714285714,1.72,29.8,1.21
26,0.00045,0.0031268571428571,0.2108571428571428,1.67,29.3,1.2
27,0.00045,0.0031268571428571,0.3126857142857142,1.64,28.9,1.13
28,0.00045,0.0031268571428571,0.4145142857142856,1.67,29.4,1.15
29,0.00045,0.0031268571428571,0.5163428571428571,1.63,29.0,1.1
30,0.00045,0.0031268571428571,0.6181714285714285,1.63,29.1,1.08
31,0.00045,0.0031268571428571,0.72,1.65,29.7,1.07
32,0.00045,0.0041451428571428,0.0072,1.53,27.2,1.09
33,0.00045,0.0041451428571428,0.1090285714285714,1.64,28.1,1.22
34,0.00045,0.0041451428571428,0.2108571428571428,1.64,28.4,1.26
35,0.00045,0.0041451428571428,0.3126857142857142,1.67,28.4,1.2
36,0.00045,0.0041451428571428,0.4145142857142856,1.57,27.7,1.13
37,0.00045,0.0041451428571428,0.5163428571428571,1.55,27.4,1.08
38,0.00045,0.0041451428571428,0.6181714285714285,1.54,27.2,1.05
39,0.00045,0.0041451428571428,0.72,1.61,27.8,1.11
40,0.00045,0.0051634285714285,0.0072,1.57,26.3,1.15
41,0.00045,0.0051634285714285,0.1090285714285714,1.5,26.3,1.07
42,0.00045,0.0051634285714285,0.2108571428571428,1.47,25.8,1.07
43,0.00045,0.0051634285714285,0.3126857142857142,1.56,26.8,1.14
44,0.00045,0.0051634285714285,0.4145142857142856,1.46,25.8,1.25
45,0.00045,0.0051634285714285,0.5163428571428571,1.56,26.9,1.08
46,0.00045,0.0051634285714285,0.6181714285714285,1.57,26.4,1.23
47,0.00045,0.0051634285714285,0.72,1.46,25.3,1.22
48,0.00045,0.0061817142857142,0.0072,1.57,26.7,1.2
49,0.00045,0.0061817142857142,0.1090285714285714,1.51,26.2,1.05
0,0.00045,0.0061817142857142,0.2108571428571428,1.49,25.8,1.1
1,0.00045,0.0061817142857142,0.3126857142857142,1.55,26.6,1.26
2,0.00045,0.0061817142857142,0.4145142857142856,1.48,25.8,1.17
3,0.00045,0.0061817142857142,0.5163428571428571,1.55,26.6,1.17
4,0.00045,0.0061817142857142,0.6181714285714285,1.54,26.5,1.09
5,0.00045,0.0061817142857142,0.72,1.44,24.9,1.06
6,0.00045,0.0072,0.0072,1.5,25.5,1.14
7,0.00045,0.0072,0.1090285714285714,1.51,25.3,1.2
8,0.00045,0.0072,0.2108571428571428,1.51,25.4,1.09
9,0.00045,0.0072,0.3126857142857142,1.43,24.9,1.07
10,0.00045,0.0072,0.4145142857142856,1.42,24.4,1.18
11,0.00045,0.0072,0.5163428571428571,1.45,25.3,1.23
12,0.00045,0.0072,0.6181714285714285,1.49,25.5,1.2
13,0.00045,0.0072,0.72,1.49,25.1,1.08
14,0.0068142857142857,7.2e-05,0.0072,8.49,35.1,9.18
15,0.0068142857142857,7.2e-05,0.1090285714285714,5.22,28.9,7.29
16,0.0068142857142857,7.2e-05,0.2108571428571428,4.46,18.9,6.89
17,0.0068142857142857,7.2e-05,0.3126857142857142,3.79,15.5,5.54
18,0.0068142857142857,7.2e-05,0.4145142857142856,3.58,13.8,5.4
19,0.0068142857142857,7.2e-05,0.5163428571428571,3.79,16.8,3.83
20,0.0068142857142857,7.2e-05,0.6181714285714285,4.64,26.6,5.78
21,0.0068142857142857,7.2e-05,0.72,4.61,27.1,5.93
22,0.0068142857142857,0.0010902857142857,0.0072,4.37,20.6,4.67
23,0.0068142857142857,0.0010902857142857,0.1090285714285714,3.29,17.4,4.18
24,0.0068142857142857,0.0010902857142857,0.2108571428571428,3.04,14.4,3.98
25,0.0068142857142857,0.0010902857142857,0.3126857142857142,2.88,12.8,3.06
26,0.0068142857142857,0.0010902857142857,0.4145142857142856,2.48,10.8,2.45
27,0.0068142857142857,0.0010902857142857,0.5163428571428571,2.95,13.0,3.17
28,0.0068142857142857,0.0010902857142857,0.6181714285714285,2.68,11.6,2.47
29,0.0068142857142857,0.0010902857142857,0.72,2.51,12.5,2.81
30,0.0068142857142857,0.0021085714285714,0.0072,3.61,17.0,3.6
31,0.0068142857142857,0.0021085714285714,0.1090285714285714,2.83,12.9,2.1
32,0.0068142857142857,0.0021085714285714,0.2108571428571428,2.59,11.8,2.46
33,0.0068142857142857,0.0021085714285714,0.3126857142857142,2.53,12.0,2.37
34,0.0068142857142857,0.0021085714285714,0.4145142857142856,2.51,11.4,2.17
35,0.0068142857142857,0.0021085714285714,0.5163428571428571,2.39,11.2,1.98
36,0.0068142857142857,0.0021085714285714,0.6181714285714285,2.28,11.3,2.05
37,0.0068142857142857,0.0021085714285714,0.72,2.24,10.1,2.11
38,0.0068142857142857,0.0031268571428571,0.0072,3.18,17.2,2.9
39,0.0068142857142857,0.0031268571428571,0.1090285714285714,2.69,14.7,2.0
40,0.0068142857142857,0.0031268571428571,0.2108571428571428,2.62,12.9,2.52
41,0.0068142857142857,0.0031268571428571,0.3126857142857142,2.51,12.2,1.96
42,0.0068142857142857,0.0031268571428571,0.4145142857142856,2.31,12.1,2.28
43,0.0068142857142857,0.0031268571428571,0.5163428571428571,2.1,10.2,1.94
44,0.0068142857142857,0.0031268571428571,0.6181714285714285,2.18,10.5,2.1
45,0.0068142857142857,0.0031268571428571,0.72,2.08,9.96,2.05
46,0.0068142857142857,0.0041451428571428,0.0072,2.98,16.4,2.59
47,0.0068142857142857,0.0041451428571428,0.1090285714285714,2.62,13.5,1.81
48,0.0068142857142857,0.0041451428571428,0.2108571428571428,2.48,12.8,2.04
49,0.0068142857142857,0.0041451428571428,0.3126857142857142,2.28,12.0,2.0
0,0.0068142857142857,0.0041451428571428,0.4145142857142856,2.54,13.1,2.19
1,0.0068142857142857,0.0041451428571428,0.5163428571428571,2.25,11.1,1.7
2,0.0068142857142857,0.0041451428571428,0.6181714285714285,2.16,11.9,1.85
3,0.0068142857142857,0.0041451428571428,0.72,2.03,9.93,1.92
4,0.0068142857142857,0.0051634285714285,0.0072,2.9,15.9,2.31
5,0.0068142857142857,0.0051634285714285,0.1090285714285714,2.39,11.9,2.15
6,0.0068142857142857,0.0051634285714285,0.2108571428571428,2.33,11.1,1.78
7,0.0068142857142857,0.0051634285714285,0.3126857142857142,2.31,11.8,1.77
8,0.0068142857142857,0.0051634285714285,0.4145142857142856,2.23,11.4,1.88
